Title	Abbreviation	ISSN	EISSN	Bibliography	Citation
Acta Physiologiae Plantarum	Acta Physiol Plant	0137-5881	1861-1664	Basic	NameYear
Acta Theriologica	Acta Theriol	0001-7051	2190-3743	Basic	NameYear
ADHD Attention Deficit and Hyperactivity Disorders	ADHD Atten Def Hyp Disord	1866-6116	1866-6647	Basic	NameYear
Advances in Data Analysis and Classification	Adv Data Anal Classif	1862-5347	1862-5355	Basic	NameYear
Aegean Review of the Law of the Sea and Maritime Law	Aegean Rev Law Sea	1864-9610	1864-9629	Basic	NameYear
AGE	AGE	0161-9152	1574-4647	Basic	NameYear
Agroforestry Systems	Agroforest Syst	0167-4366	1572-9680	Basic	NameYear
Agronomy for Sustainable Development	Agron. Sustain. Dev.	1774-0746	1773-0155	Basic	NameYear
AI & SOCIETY	AI & Soc	0951-5666	1435-5655	Basic	NameYear
Air Quality, Atmosphere & Health	Air Qual Atmos Health	1873-9318	1873-9326	Basic	NameYear
Alpine Botany	Alp Botany	1664-2201	1664-221X	Basic	NameYear
Amino Acids	Amino Acids	0939-4451	1438-2199	Basic	NameYear
Anatomical Science International	Anat Sci Int	1447-6959	1447-073X	Basic	NameYear
Animal Cognition	Anim Cogn	1435-9448	1435-9456	Basic	NameYear
Annals of Forest Science	Annals of Forest Science	1286-4560	1297-966X	Basic	NameYear
Annals of Microbiology	Ann Microbiol	1590-4261	1869-2044	Basic	NameYear
Antonie van Leeuwenhoek	Antonie van Leeuwenhoek	0003-6072	1572-9699	Basic	NameYear
Applied Entomology and Zoology	Appl Entomol Zool	0003-6862	1347-605X	Basic	NameYear
Applied Geomatics	Appl Geomat	1866-9298	1866-928X	Basic	NameYear
Applied Microbiology and Biotechnology	Appl Microbiol Biotechnol	0175-7598	1432-0614	Basic	NameYear
Applied Nanoscience	Appl Nanosci	2190-5509	2190-5517	Basic	NameYear
Applied Water Science	Appl Water Sci	2190-5487	2190-5495	Basic	NameYear
Aquaculture International	Aquacult Int	0967-6120	1573-143X	Basic	NameYear
Aquatic Ecology	Aquat Ecol	1386-2588	1573-5125	Basic	NameYear
Aquatic Geochemistry	Aquat Geochem	1380-6165	1573-1421	Basic	NameYear
Aquatic Sciences	Aquat Sci	1015-1621	1420-9055	Basic	NameYear
Arabian Journal of Geosciences	Arab J Geosci	1866-7511	1866-7538	Basic	NameYear
Archaeological and Anthropological Sciences	Archaeol Anthropol Sci	1866-9557	1866-9565	Basic	NameYear
Archival Science	Arch Sci	1389-0166	1573-7519	Basic	NameYear
Archives of Environmental Contamination and Toxicology	Arch Environ Contam Toxicol	0090-4341	1432-0703	Basic	NameYear
Archives of Microbiology	Arch Microbiol	0302-8933	1432-072X	Basic	NameYear
Archives of Toxicology	Arch Toxicol	0340-5761	1432-0738	Basic	NameYear
Archives of Women's Mental Health	Arch Womens Ment Health	1434-1816	1435-1102	Basic	NameYear
Archivum Immunologiae et Therapiae Experimentalis	Arch. Immunol. Ther. Exp.	0004-069X	1661-4917	Basic	NameYear
Arthropod-Plant Interactions	Arthropod-Plant Interactions	1872-8855	1872-8847	Basic	NameYear
Artificial Intelligence and Law	Artif Intell Law	0924-8463	1572-8382	Basic	NameYear
Artificial Intelligence Review	Artif Intell Rev	0269-2821	1573-7462	Basic	NameYear
Asia Europe Journal	Asia Eur J	1610-2932	1612-1031	Basic	NameYear
AStA Wirtschafts- und Sozialstatistisches Archiv	AStA Wirtsch Sozialstat Arch	1863-8155	1863-8163	Basic	NameYear
Australasian Plant Disease Notes	Australasian Plant Dis. Notes		1833-928X	Basic	NameYear
Australasian Plant Pathology	Australasian Plant Pathol.	0815-3191	1448-6032	Basic	NameYear
Axiomathes	Axiomathes	1122-1151	1572-8390	Basic	NameYear
Behavior Genetics	Behav Genet	0001-8244	1573-3297	Basic	NameYear
Behavioral Ecology and Sociobiology	Behav Ecol Sociobiol	0340-5443	1432-0762	Basic	NameYear
Biochemical Genetics	Biochem Genet	0006-2928	1573-4927	Basic	NameYear
BioControl	BioControl	1386-6141	1573-8248	Basic	NameYear
Biodegradation	Biodegradation	0923-9820	1572-9729	Basic	NameYear
Biodiversity and Conservation	Biodivers Conserv	0960-3115	1572-9710	Basic	NameYear
Biogeochemistry	Biogeochemistry	0168-2563	1573-515X	Basic	NameYear
Biogerontology	Biogerontology	1389-5729	1573-6768	Basic	NameYear
Biological Cybernetics	Biol Cybern	0340-1200	1432-0770	Basic	NameYear
Biological Invasions	Biol Invasions	1387-3547	1573-1464	Basic	NameYear
Biological Theory	Biol Theory	1555-5542	1555-5550	Basic	NameYear
Biology & Philosophy	Biol Philos	0169-3867	1572-8404	Basic	NameYear
Biology and Fertility of Soils	Biol Fertil Soils	0178-2762	1432-0789	Basic	NameYear
Biomechanics and Modeling in Mechanobiology	Biomech Model Mechanobiol	1617-7959	1617-7940	Basic	NameYear
BioMetals	Biometals	0966-0844	1572-8773	Basic	NameYear
Biomolecular NMR Assignments	Biomol NMR Assign	1874-2718	1874-270X	Basic	NameYear
Biophysical Reviews	Biophys Rev	1867-2450	1867-2469	Basic	NameYear
Biotechnology Letters	Biotechnol Lett	0141-5492	1573-6776	Basic	NameYear
Boundary-Layer Meteorology	Boundary-Layer Meteorol	0006-8314	1573-1472	Basic	NameYear
Brain Structure and Function	Brain Struct Funct	1863-2653	1863-2661	Basic	NameYear
Brain Topography	Brain Topogr	0896-0267	1573-6792	Basic	NameYear
Bulletin of Earthquake Engineering	Bull Earthquake Eng	1570-761X	1573-1456	Basic	NameYear
Bulletin of Engineering Geology and the Environment	Bull Eng Geol Environ	1435-9529	1435-9537	Basic	NameYear
Bulletin of Environmental Contamination and Toxicology	Bull Environ Contam Toxicol	0007-4861	1432-0800	Basic	NameYear
Bulletin of Volcanology	Bull Volcanol	0258-8900	1432-0819	Basic	NameYear
Business & Information Systems Engineering	Bus Inf Syst Eng		1867-0202	Basic	NameYear
Cancer Nanotechnology	Cancer Nano	1868-6958	1868-6966	Basic	NameYear
Carbonates and Evaporites	Carbonates Evaporites	0891-2556	1878-5212	Basic	NameYear
Cell and Tissue Banking	Cell Tissue Bank	1389-9333	1573-6814	Basic	NameYear
Cell and Tissue Research	Cell Tissue Res	0302-766X	1432-0878	Basic	NameYear
Cell Stress and Chaperones	Cell Stress and Chaperones	1355-8145	1466-1268	Basic	NameYear
Cellular and Molecular Neurobiology	Cell Mol Neurobiol	0272-4340	1573-6830	Basic	NameYear
Cellulose	Cellulose	0969-0239	1572-882X	Basic	NameYear
Central European Journal of Operations Research	Cent Eur J Oper Res	1435-246X	1613-9178	Basic	NameYear
Chemoecology	Chemoecology	0937-7409	1423-0445	Basic	NameYear
Chemosensory Perception	Chem. Percept.	1936-5802	1936-5810	Basic	NameYear
China-EU Law Journal	China-EU Law J	1868-5153	1868-5161	Basic	NameYear
Chromosoma	Chromosoma	0009-5915	1432-0886	Basic	NameYear
Chromosome Research	Chromosome Res	0967-3849	1573-6849	Basic	NameYear
Clean Technologies and Environmental Policy	Clean Techn Environ Policy	1618-954X	1618-9558	Basic	NameYear
Climate Dynamics	Clim Dyn	0930-7575	1432-0894	Basic	NameYear
Climatic Change	Climatic Change	0165-0009	1573-1480	Basic	NameYear
Clinical and Translational Imaging	Clin Transl Imaging	2281-5872		Basic	NameYear
Cliometrica	Cliometrica	1863-2505	1863-2513	Basic	NameYear
Cognition, Technology & Work	Cogn Tech Work	1435-5558	1435-5566	Basic	NameYear
Cognitive Neurodynamics	Cogn Neurodyn	1871-4080	1871-4099	Basic	NameYear
Cognitive Processing	Cogn Process	1612-4782	1612-4790	Basic	NameYear
Comparative Clinical Pathology	Comp Clin Pathol	1618-5641	1618-565X	Basic	NameYear
Computational and Applied Mathematics	Comp. Appl. Math.	0101-8205	1807-0302	Basic	NameYear
Computational and Mathematical Organization Theory	Comput Math Organ Theory	1381-298X	1572-9346	Basic	NameYear
Computational Management Science	Comput Manag Sci	1619-697X	1619-6988	Basic	NameYear
Computational Statistics	Comput Stat	0943-4062	1613-9658	Basic	NameYear
Conservation Genetics	Conserv Genet	1566-0621	1572-9737	Basic	NameYear
Conservation Genetics Resources	Conservation Genet Resour	1877-7252	1877-7260	Basic	NameYear
Contributions to Mineralogy and Petrology	Contrib Mineral Petrol	0010-7999	1432-0967	Basic	NameYear
Coral Reefs	Coral Reefs	0722-4028	1432-0975	Basic	NameYear
Current Genetics	Curr Genet	0172-8083	1432-0983	Basic	NameYear
Cytotechnology	Cytotechnology	0920-9069	1573-0778	Basic	NameYear
Dairy Science & Technology	Dairy Sci. & Technol.	1958-5586	1958-5594	Basic	NameYear
Data Mining and Knowledge Discovery	Data Min Knowl Disc	1384-5810	1573-756X	Basic	NameYear
Development Genes and Evolution	Dev Genes Evol	0949-944X	1432-041X	Basic	NameYear
Discrete Event Dynamic Systems	Discrete Event Dyn Syst	0924-6703	1573-7594	Basic	NameYear
e & i Elektrotechnik und Informationstechnik	Elektrotech. Inftech.	0932-383X	1613-7620	Basic	NameYear
Earth Science Informatics	Earth Sci Inform	1865-0473	1865-0481	Basic	NameYear
Ecological Research	Ecol Res	0912-3814	1440-1703	Basic	NameYear
Economic Change and Restructuring	Econ Change Restruct	1573-9414	1574-0277	Basic	NameYear
Economics of Governance	Econ Gov	1435-6104	1435-8131	Basic	NameYear
Ecotoxicology	Ecotoxicology	0963-9292	1573-3017	Basic	NameYear
Empirica	Empirica	0340-8744	1573-6911	Basic	NameYear
Empirical Economics	Empir Econ	0377-7332	1435-8921	Basic	NameYear
Empirical Software Engineering	Empir Software Eng	1382-3256	1573-7616	Basic	NameYear
Environment Systems & Decisions	Environ Syst Decis	2194-5403	2194-5411	Basic	NameYear
Environmental and Ecological Statistics	Environ Ecol Stat	1352-8505	1573-3009	Basic	NameYear
Environmental and Resource Economics	Environ Resource Econ	0924-6460	1573-1502	Basic	NameYear
Environmental Biology of Fishes	Environ Biol Fish	0378-1909	1573-5133	Basic	NameYear
Environmental Chemistry Letters	Environ Chem Lett	1610-3653	1610-3661	Basic	NameYear
Environmental Earth Sciences	Environ Earth Sci	1866-6280	1866-6299	Basic	NameYear
Environmental Economics and Policy Studies	Environ Econ Policy Stud	1432-847X	1867-383X	Basic	NameYear
Environmental Management	Environmental Management	0364-152X	1432-1009	Basic	NameYear
Environmental Science and Pollution Research	Environ Sci Pollut Res	0944-1344	1614-7499	Basic	NameYear
Erwerbs-Obstbau	Erwerbs-Obstbau	0014-0309	1439-0302	Basic	NameYear
Ethical Theory and Moral Practice	Ethic Theory Moral Prac	1386-2820	1572-8447	Basic	NameYear
Euphytica	Euphytica	0014-2336	1573-5060	Basic	NameYear
EURO Journal on Computational Optimization	EURO J Comput Optim	2192-4406	2192-4414	Basic	NameYear
EURO Journal on Decision Processes	EURO J Decis Process	2193-9438	2193-9446	Basic	NameYear
EURO Journal on Transportation and Logistics	EURO J Transp Logist	2192-4376	2192-4384	Basic	NameYear
European Biophysics Journal	Eur Biophys J 	0175-7571	1432-1017	Basic	NameYear
European Journal of Ageing	Eur J Ageing	1613-9372	1613-9380	Basic	NameYear
European Journal of Applied Physiology	Eur J Appl Physiol	1439-6319	1439-6327	Basic	NameYear
European Journal of Drug Metabolism and Pharmacokinetics	Eur J Drug Metab Pharmacokinet	0378-7966	2107-0180	Basic	NameYear
European Journal of Forest Research	Eur J Forest Res	1612-4669	1612-4677	Basic	NameYear
European Journal of Wildlife Research	Eur J Wildl Res	1612-4642	1439-0574	Basic	NameYear
European Journal of Wood and Wood Products	Eur. J. Wood Prod. 	0018-3768	1436-736X	Basic	NameYear
Evolutionary Ecology	Evol Ecol	0269-7653	1573-8477	Basic	NameYear
Evolving Systems	Evolving Systems	1868-6478	1868-6486	Basic	NameYear
Experimental and Applied Acarology	Exp Appl Acarol	0168-8162	1572-9702	Basic	NameYear
Experimental Brain Research	Exp Brain Res	0014-4819	1432-1106	Basic	NameYear
Experiments in Fluids	Exp Fluids	0723-4864	1432-1114	Basic	NameYear
Extremophiles	Extremophiles	1431-0651	1433-4909	Basic	NameYear
Facies	Facies	0172-9179	1612-4820	Basic	NameYear
Fish Physiology and Biochemistry	Fish Physiol Biochem	0920-1742	1573-5168	Basic	NameYear
Flexible Services and Manufacturing Journal	Flex Serv Manuf J	1936-6582	1936-6590	Basic	NameYear
Folia Microbiologica	Folia Microbiol	0015-5632	1874-9356	Basic	NameYear
Food Analytical Methods	Food Anal. Methods	1936-9751	1936-976X	Basic	NameYear
Forum der Psychoanalyse	Forum Psychoanal	0178-7667	1437-0751	Basic	NameYear
Functional & Integrative Genomics	Funct Integr Genomics	1438-793X	1438-7948	Basic	NameYear
Fungal Diversity	Fungal Diversity	1560-2745	1878-9129	Basic	NameYear
Genes & Genomics	Genes Genom	1976-9571	2092-9293	Basic	NameYear
Genes & Nutrition	Genes Nutr	1555-8932	1865-3499	Basic	NameYear
Genetic Resources and Crop Evolution	Genet Resour Crop Evol	0925-9864	1573-5109	Basic	NameYear
Genetica	Genetica	0016-6707	1573-6857	Basic	NameYear
Geo-Marine Letters	Geo-Mar Lett	0276-0460	1432-1157	Basic	NameYear
Geoheritage	Geoheritage	1867-2477	1867-2485	Basic	NameYear
Geotechnical and Geological Engineering	Geotech Geol Eng	0960-3182	1573-1529	Basic	NameYear
Gesunde Pflanzen	Gesunde Pflanzen	0367-4223	1439-0345	Basic	NameYear
GPS Solutions	GPS Solut	1080-5370	1521-1886	Basic	NameYear
Group Decision and Negotiation	Group Decis Negot	0926-2644	1572-9907	Basic	NameYear
Helgoland Marine Research	Helgol Mar Res	1438-387X	1438-3888	Basic	NameYear
Histochemistry and Cell Biology	Histochem Cell Biol	0948-6143	1432-119X	Basic	NameYear
Human Genetics	Hum Genet	0340-6717	1432-1203	Basic	NameYear
Hydrogeology Journal	Hydrogeol J	1431-2174	1435-0157	Basic	NameYear
Immunogenetics	Immunogenetics	0093-7711	1432-1211	Basic	NameYear
Inflammopharmacology	Inflammopharmacol	0925-4692	1568-5608	Basic	NameYear
Information Systems and e-Business Management	Inf Syst E-Bus Manage	1617-9846	1617-9854	Basic	NameYear
International Archives of Occupational and Environmental Health	Int Arch Occup Environ Health	0340-0131	1432-1246	Basic	NameYear
International Economics and Economic Policy	Int Econ Econ Policy	1612-4804	1612-4812	Basic	NameYear
International Journal of Biometeorology	Int J Biometeorol	0020-7128	1432-1254	Basic	NameYear
International Journal of Earth Sciences	Int J Earth Sci (Geol Rundsch)	1437-3254	1437-3262	Basic	NameYear
International Journal of Environmental Science and Technology	Int. J. Environ. Sci. Technol.	1735-1472	1735-2630	Basic	NameYear
International Journal of Euro-Mediterranean Studies	Int J Euro-Mediter Stud	1855-3362	2232-6022	Basic	NameYear
International Journal of Fracture	Int J Fract	0376-9429	1573-2673	Basic	NameYear
International Journal of Game Theory	Int J Game Theory	0020-7276	1432-1270	Basic	NameYear
International Journal of Peptide Research and Therapeutics	Int J Pept Res Ther	1573-3149	1573-3904	Basic	NameYear
International Journal of Public Health	Int J Public Health	1661-8556	1661-8564	Basic	NameYear
International Journal of System Assurance Engineering and Management	Int J  Syst  Assur  Eng  Manag	0975-6809	0976-4348	Basic	NameYear
International Review of Economics	Int Rev Econ	1865-1704	1863-4613	Basic	NameYear
International Review on Public and Nonprofit Marketing	Int Rev Public Nonprofit Mark	1865-1984	1865-1992	Basic	NameYear
Invertebrate Neuroscience	Invert Neurosci	1354-2516	1439-1104	Basic	NameYear
Irrigation Science	Irrig Sci	0342-7188	1432-1319	Basic	NameYear
Jahrbuch für Regionalwissenschaft	Jahrb Reg wiss	0173-7600	1613-9836	Basic	NameYear
Journal für Betriebswirtschaft	J Betriebswirtsch	0344-9327	1614-631X	Basic	NameYear
Journal für Verbraucherschutz und Lebensmittelsicherheit	J. Verbr. Lebensm.	1661-5751	1661-5867	Basic	NameYear
Journal of Ambient Intelligence and Humanized Computing	J Ambient Intell Human Comput	1868-5137	1868-5145	Basic	NameYear
Journal of Applied Genetics	J Appl Genetics	1234-1983	2190-3883	Basic	NameYear
Journal of Applied Phycology	J Appl Phycol	0921-8971	1573-5176	Basic	NameYear
Journal of Bioenergetics and Biomembranes	J Bioenerg Biomembr	0145-479X	1573-6881	Basic	NameYear
Journal of Biomolecular NMR	J Biomol NMR	0925-2738	1573-5001	Basic	NameYear
Journal of Business Economics	J Bus Econ	0044-2372	1861-8928	Basic	NameYear
Journal of Cancer Research and Clinical Oncology	J Cancer Res Clin Oncol	0171-5216	1432-1335	Basic	NameYear
Journal of Cell Communication and Signaling	J. Cell Commun. Signal.	1873-9601	1873-961X	Basic	NameYear
Journal of Coastal Conservation	J Coast Conserv	1400-0350	1874-7841	Basic	NameYear
Journal of Combinatorial Optimization	J Comb Optim	1382-6905	1573-2886	Basic	NameYear
Journal of Community Genetics	J Community Genet	1868-310X	1868-6001	Basic	NameYear
Journal of Comparative Physiology A	J Comp Physiol A	0340-7594	1432-1351	Basic	NameYear
Journal of Comparative Physiology B	J Comp Physiol B	0174-1578	1432-136X	Basic	NameYear
Journal of Economic Interaction and Coordination	J Econ Interact Coord	1860-711X	1860-7128	Basic	NameYear
Journal of Economics	J Econ	0931-8658	1617-7134	Basic	NameYear
Journal of Economics and Finance	J Econ Finan	1055-0925	1938-9744	Basic	NameYear
Journal of Environmental Studies and Sciences	J Environ Stud Sci	2190-6483	2190-6491	Basic	NameYear
Journal of Ethology	J Ethol	0289-0771	1439-5444	Basic	NameYear
Journal of Evolutionary Economics	J Evol Econ	0936-9937	1432-1386	Basic	NameYear
Journal of Financial Services Research	J Financ Serv Res	0920-8550	1573-0735	Basic	NameYear
Journal of Food Science and Technology	J Food Sci Technol	0022-1155	0975-8402	Basic	NameYear
Journal of Forest Research	J For Res	1341-6979	1610-7403	Basic	NameYear
Journal of General Plant Pathology	J Gen Plant Pathol	1345-2630	1610-739X	Basic	NameYear
Journal of Geodesy	J Geod	0949-7714	1432-1394	Basic	NameYear
Journal of Geographical Systems	J Geogr Syst	1435-5930	1435-5949	Basic	NameYear
Journal of Global Policy and Governance	J Glob Policy Gov	2194-7740	2194-7759	Basic	NameYear
Journal of Industry, Competition and Trade	J Ind Compet Trade	1566-1679	1573-7012	Basic	NameYear
Journal of Inherited Metabolic Disease	J Inherit Metab Dis	0141-8955	1573-2665	Basic	NameYear
Journal of Insect Behavior	J Insect Behav	0892-7553	1572-8889	Basic	NameYear
Journal of Insect Conservation	J Insect Conserv	1366-638X	1572-9753	Basic	NameYear
Journal of International Entrepreneurship	J Int Entrep	1570-7385	1573-7349	Basic	NameYear
Journal of Labor Research	J Labor Res	0195-3613	1936-4768	Basic	NameYear
Journal of Maritime Archaeology	J Mari Arch	1557-2285	1557-2293	Basic	NameYear
Journal of Mathematical Biology	J. Math. Biol.	0303-6812	1432-1416	Basic	NameYear
Journal of Molecular Evolution	J Mol Evol	0022-2844	1432-1432	Basic	NameYear
Journal of Molecular Histology	J Mol Hist	1567-2379	1567-2387	Basic	NameYear
Journal of Molecular Neuroscience	J Mol Neurosci	0895-8696	1559-1166	Basic	NameYear
Journal of Muscle Research and Cell Motility	J Muscle Res Cell Motil	0142-4319	1573-2657	Basic	NameYear
Journal of Nanoparticle Research	J Nanopart Res	1388-0764	1572-896X	Basic	NameYear
Journal of Neural Transmission	J Neural Transm	0300-9564	1435-1463	Basic	NameYear
Journal of Neuroimmune Pharmacology	J Neuroimmune Pharmacol	1557-1890	1557-1904	Basic	NameYear
Journal of NeuroVirology	J. Neurovirol.	1355-0284	1538-2443	Basic	NameYear
Journal of Oceanography	J Oceanogr	0916-8370	1573-868X	Basic	NameYear
Journal of Ornithology	J Ornithol	2193-7192	2193-7206	Basic	NameYear
Journal of Paleolimnology	J Paleolimnol	0921-2728	1573-0417	Basic	NameYear
Journal of Parasitic Diseases	J Parasit Dis	0971-7196	0975-0703	Basic	NameYear
Journal of Pest Science	J Pest Sci	1612-4758	1612-4766	Basic	NameYear
Journal of Petroleum Exploration and Production Technology	J Petrol Explor Prod Technol	2190-0558	2190-0566	Basic	NameYear
Journal of Pharmaceutical Investigation	Journal of Pharmaceutical Investigation	2093-5552	2093-6214	Basic	NameYear
Journal of Plant Biochemistry and Biotechnology	J. Plant Biochem. Biotechnol.	0971-7811	0974-1275	Basic	NameYear
Journal of Plant Growth Regulation	J Plant Growth Regul	0721-7595	1435-8107	Basic	NameYear
Journal of Plant Research	J Plant Res	0918-9440	1618-0860	Basic	NameYear
Journal of Police and Criminal Psychology	J Police Crim Psych	0882-0783	1936-6469	Basic	NameYear
Journal of Population Economics	J Popul Econ	0933-1433	1432-1475	Basic	NameYear
Journal of Productivity Analysis	J Prod Anal	0895-562X	1573-0441	Basic	NameYear
Journal of Public Health	J Public Health	0943-1853	1613-2238	Basic	NameYear
Journal of Quantitative Criminology	J Quant Criminol	0748-4518	1573-7799	Basic	NameYear
Journal of Science Education and Technology	J Sci Educ Technol	1059-0145	1573-1839	Basic	NameYear
Journal of Seismology	J Seismol	1383-4649	1573-157X	Basic	NameYear
Journal of Soils and Sediments	J Soils Sediments	1439-0108	1614-7480	Basic	NameYear
Journal of the Association for Research in Otolaryngology	JARO	1525-3961	1438-7573	Basic	NameYear
Journal of the Indian Academy of Wood Science	J Indian Acad Wood Sci	0972-172X	0976-8432	Basic	NameYear
Journal of Transportation Security	J Transp Secur	1938-7741	1938-775X	Basic	NameYear
Journal of Visualization	J Vis	1343-8875	1875-8975	Basic	NameYear
Landscape and Ecological Engineering	Landscape Ecol Eng	1860-1871	1860-188X	Basic	NameYear
Landscape Ecology	Landscape Ecol	0921-2973	1572-9761	Basic	NameYear
Landslides	Landslides	1612-510X	1612-5118	Basic	NameYear
Lifetime Data Analysis	Lifetime Data Anal	1380-7870	1572-9249	Basic	NameYear
Limnology	Limnology	1439-8621	1439-863X	Basic	NameYear
Machine Translation	Machine Translation	0922-6567	1573-0573	Basic	NameYear
Mammalian Genome	Mamm Genome	0938-8990	1432-1777	Basic	NameYear
Marine Biodiversity	Mar Biodiv	1867-1616	1867-1624	Basic	NameYear
Marine Biology	Mar Biol	0025-3162	1432-1793	Basic	NameYear
Marine Biotechnology	Mar Biotechnol	1436-2228	1436-2236	Basic	NameYear
Marine Geophysical Research	Mar Geophys Res	0025-3235	1573-0581	Basic	NameYear
Mathematical Geosciences	Math Geosci	1874-8961	1874-8953	Basic	NameYear
Mathematical Methods of Operations Research	Math Meth Oper Res	1432-2994	1432-5217	Basic	NameYear
Medicinal Chemistry Research	Med Chem Res	1054-2523	1554-8120	Basic	NameYear
Metabolic Brain Disease	Metab Brain Dis	0885-7490	1573-7365	Basic	NameYear
Meteorology and Atmospheric Physics	Meteorol Atmos Phys	0177-7971	1436-5065	Basic	NameYear
Methodology and Computing in Applied Probability	Methodol Comput Appl Probab	1387-5841	1573-7713	Basic	NameYear
Metrika	Metrika	0026-1335	1435-926X	Basic	NameYear
Microfluidics and Nanofluidics	Microfluid Nanofluid	1613-4982	1613-4990	Basic	NameYear
Microsystem Technologies	Microsyst Technol	0946-7076	1432-1858	Basic	NameYear
Mind & Society	Mind Soc	1593-7879	1860-1839	Basic	NameYear
Mine Water and the Environment	Mine Water Environ	1025-9112	1616-1068	Basic	NameYear
Mineral Economics	Miner Econ	2191-2203	2191-2211	Basic	NameYear
Mineralium Deposita	Miner Deposita	0026-4598	1432-1866	Basic	NameYear
Mineralogy and Petrology	Miner Petrol	0930-0708	1438-1168	Basic	NameYear
Mitigation and Adaptation Strategies for Global Change	Mitig Adapt Strateg Glob Change	1381-2386	1573-1596	Basic	NameYear
Molecular Breeding	Mol Breeding	1380-3743	1572-9788	Basic	NameYear
Molecular Genetics and Genomics	Mol Genet Genomics	1617-4615	1617-4623	Basic	NameYear
Mycological Progress	Mycol Progress	1617-416X	1861-8952	Basic	NameYear
Mycorrhiza	Mycorrhiza	0940-6360	1432-1890	Basic	NameYear
Mycotoxin Research	Mycotoxin Res	0178-7888	1867-1632	Basic	NameYear
Natural Computing	Nat Comput	1567-7818	1572-9796	Basic	NameYear
Natural Hazards	Nat Hazards	0921-030X	1573-0840	Basic	NameYear
Naturwissenschaften	Naturwissenschaften	0028-1042	1432-1904	Basic	NameYear
Naunyn-Schmiedeberg's Archives of Pharmacology	Naunyn-Schmiedeberg's Arch Pharmacol	0028-1298	1432-1912	Basic	NameYear
Neotropical Entomology	Neotrop Entomol	1519-566X	1678-8052	Basic	NameYear
Network Modeling Analysis in Health Informatics and Bioinformatics	Netw Model Anal Health Inform Bioinforma	2192-6662	2192-6670	Basic	NameYear
Networks and Spatial Economics	Netw Spat Econ	1566-113X	1572-9427	Basic	NameYear
Neurotoxicity Research	Neurotox Res	1029-8428	1476-3524	Basic	NameYear
New Forests	New Forests	0169-4286	1573-5095	Basic	NameYear
Nutrient Cycling in Agroecosystems	Nutr Cycl Agroecosyst	1385-1314	1573-0867	Basic	NameYear
Ocean Dynamics	Ocean Dynamics	1616-7341	1616-7228	Basic	NameYear
Oecologia	Oecologia	0029-8549	1432-1939	Basic	NameYear
Open Economies Review	Open Econ Rev	0923-7992	1573-708X	Basic	NameYear
Operational Research	Oper Res Int J	1109-2858	1866-1505	Basic	NameYear
Operations Management Research	Oper Manag Res	1936-9735	1936-9743	Basic	NameYear
Optimization and Engineering	Optim Eng	1389-4420	1573-2924	Basic	NameYear
OR Spectrum	OR Spectrum	0171-6468	1436-6304	Basic	NameYear
Organic Agriculture	Org. Agr.	1879-4238	1879-4246	Basic	NameYear
Oriental Pharmacy and Experimental Medicine	Orient Pharm Exp Med	1598-2386	2211-1069	Basic	NameYear
Origins of Life and Evolution of Biospheres	Orig Life Evol Biosph	0169-6149	1573-0875	Basic	NameYear
Paddy and Water Environment	Paddy Water Environ	1611-2490	1611-2504	Basic	NameYear
Palaeobiodiversity and Palaeoenvironments	Palaeobio Palaeoenv	1867-1594	1867-1608	Basic	NameYear
Parasitology Research	Parasitol Res	0932-0113	1432-1955	Basic	NameYear
Photosynthesis Research	Photosynth Res	0166-8595	1573-5079	Basic	NameYear
Physics and Chemistry of Minerals	Phys Chem Minerals	0342-1791	1432-2021	Basic	NameYear
Physiology and Molecular Biology of Plants	Physiol Mol Biol Plants	0971-5894	0974-0430	Basic	NameYear
Phytochemistry Reviews	Phytochem Rev	1568-7767	1572-980X	Basic	NameYear
Plant and Soil	Plant Soil	0032-079X	1573-5036	Basic	NameYear
Plant Biotechnology Reports	Plant Biotechnol Rep	1863-5466	1863-5474	Basic	NameYear
Plant Cell Reports	Plant Cell Rep	0721-7714	1432-203X	Basic	NameYear
Plant Cell, Tissue and Organ Culture (PCTOC)	Plant Cell Tiss Organ Cult	0167-6857	1573-5044	Basic	NameYear
Plant Ecology	Plant Ecol	1385-0237	1573-5052	Basic	NameYear
Plant Growth Regulation	Plant Growth Regul	0167-6903	1573-5087	Basic	NameYear
Plant Molecular Biology	Plant Mol Biol	0167-4412	1573-5028	Basic	NameYear
Plant Molecular Biology Reporter	Plant Mol Biol Rep	0735-9640	1572-9818	Basic	NameYear
Plant Reproduction	Plant Reprod	2194-7953	2194-7961	Basic	NameYear
Plant Systematics and Evolution	Plant Syst Evol	0378-2697	1615-6110	Basic	NameYear
Planta	Planta	0032-0935	1432-2048	Basic	NameYear
Polar Biology	Polar Biol	0722-4060	1432-2056	Basic	NameYear
Population Ecology	Popul Ecol	1438-3896	1438-390X	Basic	NameYear
Portuguese Economic Journal	Port Econ J	1617-982X	1617-9838	Basic	NameYear
Potato Research	Potato Res.	0014-3065	1871-4528	Basic	NameYear
Primates	Primates	0032-8332	1610-7365	Basic	NameYear
Protoplasma	Protoplasma	0033-183X	1615-6102	Basic	NameYear
Psychopharmacology	Psychopharmacology	0033-3158	1432-2072	Basic	NameYear
Public Transport	Public Transp	1866-749X	1613-7159	Basic	NameYear
