Title	ISSN	EISSN	Field	Parent	Format	Documentation
Journal of Heritage Tourism	1743-873X	1747-6631	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJHT20&page=instructions
Journal of Hydraulic Research	0022-1686	1814-2079	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TJHR20&page=instructions
Journal of Intellectual and Developmental Disability	1366-8250	1469-9532	medicine	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJID20&page=instructions
Journal of Intercultural Communication Research	1747-5759	1747-5767	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJIC20&page=instructions
Journal of International and Comparative Social Policy	2169-9763	2169-978X	medicine	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJCS20&page=instructions
Journal of Land Use Science	1747-423X	1747-4248	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TLUS20&page=instructions
Journal of Management Analytics	2327-0012	2327-0039	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TJMA20&page=instructions
Journal of Maps		1744-5647	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TJOM20&page=instructions
Journal of Marketing for Higher Education	0884-1241	1540-7144	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=WMHE20&page=instructions
Journal of Marketing Management	0267-257X	1472-1376	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJMM20&page=instructions
Journal of Moral Education	0305-7240	1465-3877	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJME20&page=instructions
Journal of Natural Resources Policy Research	1939-0459	1939-0467	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJNR20&page=instructions
Journal of New Music Research	0929-8215	1744-5027	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NNMR20&page=instructions
Journal of Occupational Science	1442-7591	2158-1576	medicine	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=ROCC20&page=instructions
Journal of Poetry Therapy	0889-3675	1567-2344	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TJPT20&page=instructions
Journal of Policing, Intelligence and Counter Terrorism	1833-5330	2159-5364	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RPIC20&page=instructions
Journal of Policy Research in Tourism, Leisure and Events	1940-7963	1940-7971	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RPRT20&page=instructions
Journal of Property Research	0959-9916	1466-4453	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJPR20&page=instructions
Journal of Reproductive and Infant Psychology	0264-6838	1469-672X	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJRI20&page=instructions
Journal of Scandinavian Studies in Criminology and Crime Prevention	1404-3858	1651-2340	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=SCRI20&page=instructions
Journal of Sexual Aggression	1355-2600	1742-6545	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TJSA20&page=instructions
Journal of Social Welfare and Family Law	0964-9069	1469-9621	medicine	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJSF20&page=instructions
Journal of Sports Sciences	0264-0414	1466-447X	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJSP20&page=instructions
Journal of Strategic Marketing	0965-254X	1466-4488	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJSM20&page=instructions
Journal of Sustainable Tourism	0966-9582	1747-7646	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RSUS20&page=instructions
Journal of the Indian Ocean Region	1948-0881	1948-108X	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIOR20&page=instructions
Journal of Tourism and Cultural Change	1476-6825	1747-7654	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RTCC20&page=instructions
Journal of Travel & Tourism Marketing	1054-8408	1540-7306	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=WTTM20&page=instructions
Journal of Trust Research	2151-5581	2151-559X	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJTR20&page=instructions
Journal of Wine Research	0957-1264	1469-9672	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CJWR20&page=instructions
Justice Quarterly	0741-8825	1745-9109	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJQY20&page=instructions
Landscape Research	0142-6397	1469-9710	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CLAR20&page=instructions
Language and Intercultural Communication	1470-8477	1747-759X	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RMLI20&page=instructions
Language Awareness	0965-8416	1747-7565	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RMLA20&page=instructions
Language, Cognition and Neuroscience	2327-3798	2327-3801	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PLCP20&page=instructions
Language, Culture and Curriculum	0790-8318	1747-7573	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RLCC20&page=instructions
Laterality: Asymmetries of Body, Brain and Cognition	1357-650X	1464-0678	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PLAT20&page=instructions
Leisure Studies	0261-4367	1466-4496	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RLST20&page=instructions
Leisure/Loisir	1492-7713	2151-2221	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RLOI20&page=instructions
Loisir et Société / Society and Leisure	0705-3436	1705-0154	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RLES20&page=instructions
Managing Leisure	1360-6719	1466-450X	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RMLE20&page=instructions
Memory	0965-8211	1464-0686	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PMEM20&page=instructions
Mental Health, Religion & Culture	1367-4676	1469-9737	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CMHR20&page=instructions
Mentoring & Tutoring: Partnership in Learning	1361-1267	1469-9745	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CMET20&page=instructions
Middle East Development Journal	1793-8120	1793-8171	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RMDJ20&page=instructions
Migration and Development	2163-2324	2163-2332	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RMAD20&page=instructions
Mortality	1357-6275	1469-9885	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CMRT20&page=instructions
National Identities	1460-8944	1469-9907	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CNID20&page=instructions
Neurocase	1355-4794	1465-3656	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NNCS20&page=instructions
Neuropsychoanalysis	1529-4145	2044-3978	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RNPA20&page=instructions
Neuropsychological Rehabilitation	0960-2011	1464-0694	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PNRH20&page=instructions
New Review of Hypermedia and Multimedia	1361-4568	1740-7842	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=THAM20&page=instructions
New Zealand Economic Papers	0077-9954	1943-4863	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RNZP20&page=instructions
Nordic Journal of Music Therapy	0809-8131	1944-8260	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RNJM20&page=instructions
Nordic Psychology	1901-2276	1904-0016	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RNPY20&page=instructions
NORMA: International Journal for Masculinity Studies	1890-2138	1890-2146	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RNOR20&page=instructions
Open Learning: The Journal of Open, Distance and e-Learning	0268-0513	1469-9958	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=COPL20&page=instructions
Open Review of Educational Research		2326-5507	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RRER20&page=instructions
Oxford Development Studies	1360-0818	1469-9966	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CODS20&page=instructions
Oxford Review of Education	0305-4985	1465-3915	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CORE20&page=instructions
Pastoral Care in Education	0264-3944	1468-0122	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RPED20&page=instructions
Pedagogies: An International Journal	1554-480X	1554-4818	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=HPED20&page=instructions
Person-Centered & Experiential Psychotherapies	1477-9757	1752-9182	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RPCP20&page=instructions
Perspectives	0907-676X	1747-6623	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RMPS20&page=instructions
Philosophical Psychology	0951-5089	1465-394X	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CPHP20&page=instructions
Physical Geography	0272-3646	1930-0557	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TPHY20&page=instructions
Planning Theory & Practice	1464-9357	1470-000X	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RPTP20&page=instructions
Police Practice and Research	1561-4263	1477-271X	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GPPR20&page=instructions
Production & Manufacturing Research		2169-3277	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TPMR20&page=instructions
Psychoanalytic Psychotherapy	0266-8734	1474-9734	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RPPS20&page=instructions
Psychodynamic Practice	1475-3634	1475-3626	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RPCO20&page=instructions
Psychology & Health	0887-0446	1476-8321	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GPSH20&page=instructions
Psychology & Sexuality	1941-9899	1941-9902	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RPSE20&page=instructions
Psychology, Crime & Law	1068-316X	1477-2744	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=GPCL20&page=instructions
Psychology, Health & Medicine	1354-8506	1465-3966	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CPHM20&page=instructions
Psychosis	1752-2439	1752-2447	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RPSY20&page=instructions
Psychotherapy Research	1050-3307	1468-4381	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TPSR20&page=instructions
Psyecology	2171-1976	1989-9386	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RPRB20&page=instructions
Reflective Practice	1462-3943	1470-1103	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CREP20&page=instructions
Regional Studies, Regional Science		2168-1376	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RSRS20&page=instructions
Religion, Brain & Behavior	2153-599X	2153-5981	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RRBB20&page=instructions
Research and Practice in Intellectual and Developmental Disabilities	2329-7018	2329-7026	medicine	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RPID20&page=instructions
Research in Mathematics Education	1479-4802	1754-0178	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RRME20&page=instructions
Resilience	2169-3293	2169-3307	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RESI20&page=instructions
Review of Social Economy	0034-6764	1470-1162	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RRSE20&page=instructions
Revista de Psicología Social	0213-4748	1579-3680	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RRPS20&page=instructions
Road Materials and Pavement Design	1468-0629	2164-7402	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TRMP20&page=instructions
Russian Journal of Communication	1940-9419	1940-9427	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RRJC20&page=instructions
Scandinavian Journal of Educational Research	0031-3831	1470-1170	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CSJE20&page=instructions
Scandinavian Journal of Hospitality and Tourism	1502-2250	1502-2269	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=SJHT20&page=instructions
School Effectiveness and School Improvement	0924-3453	1744-5124	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NSES20&page=instructions
Self and Identity	1529-8868	1529-8876	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PSAI20&page=instructions
Sexual and Relationship Therapy	1468-1994	1468-1749	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CSMT20&page=instructions
Social & Cultural Geography	1464-9365	1470-1197	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RSCG20&page=instructions
Social Identities	1350-4630	1363-0296	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CSID20&page=instructions
Social Influence	1553-4510	1553-4529	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PSIF20&page=instructions
Social Movement Studies	1474-2837	1474-2829	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CSMS20&page=instructions
Social Neuroscience	1747-0919	1747-0927	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PSNS20&page=instructions
Social Work Education	0261-5479	1470-1227	medicine	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CSWE20&page=instructions
South African Geographical Journal	0373-6245	2151-2418	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RSAG20&page=instructions
Space and Polity	1356-2576	1470-1235	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CSPP20&page=instructions
Spanish Journal of Finance and Accounting / Revista Espanola de Financiacion y Contabilidad	0210-2412	2332-0753	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=REFC20&page=instructions
Sport, Education and Society	1357-3322	1470-1243	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CSES20&page=instructions
Sports Biomechanics	1476-3141	1752-6116	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RSPB20&page=instructions
Sports Coaching Review	2164-0629	2164-0637	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RSPC20&page=instructions
Sports Technology	1934-6182	1934-6190	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RTEC20&page=instructions
Studies in Science Education	0305-7267	1940-8412	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RSSE20&page=instructions
Studying Teacher Education	1742-5964	1742-5972	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CSTE20&page=instructions
Systematics and Biodiversity	1477-2000	1478-0933	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TSAB20&page=instructions
Systems Science & Control Engineering: An Open Access Journal		2164-2583	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TSSC20&page=instructions
Teachers and Teaching	1354-0602	1470-1278	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CTAT20&page=instructions
Teaching Education	1047-6210	1470-1286	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CTED20&page=instructions
Technology, Pedagogy and Education	1475-939X	1747-5139	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RTPE20&page=instructions
Tertiary Education and Management	1358-3883	1573-1936	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RTEM20&page=instructions
The Academy of Management Annals	1941-6520	1941-6067	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAMA20&page=instructions
The Clinical Neuropsychologist	1385-4046	1744-4144	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NTCN20&page=instructions
The History of the Family	1081-602X	1873-5398	humanities	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RHOF20&page=instructions
The International Journal of Human Resource Management	0958-5192	1466-4399	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIJH20&page=instructions
The Irish Journal of Psychology	0303-3910	2158-0812	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RIRI20&page=instructions
The Journal of Development Studies	0022-0388	1743-9140	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=FJDS20&page=instructions
The Journal of Forensic Psychiatry & Psychology	1478-9949	1478-9957	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RJFP20&page=instructions
The Journal of Legislative Studies	1357-2334	1743-9337	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=FJLS20&page=instructions
The Journal of Positive Psychology	1743-9760	1743-9779	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RPOS20&page=instructions
The Journal of The Textile Institute	0040-5000	1754-2340	science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TJTI20&page=instructions
The Quarterly Journal of Experimental Psychology	1747-0218	1747-0226	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PQJE20&page=instructions
The Scandinavian Psychoanalytic Review	0106-2301	1600-0803	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RSPR20&page=instructions
The Service Industries Journal	0264-2069	1743-9507	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=FSIJ20&page=instructions
Thinking & Reasoning	1354-6783	1464-0708	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PTAR20&page=instructions
Tourism Geographies	1461-6688	1470-1340	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RTXG20&page=instructions
Tourism Planning & Development	2156-8316	2156-8324	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RTHP20&page=instructions
Transport Reviews	0144-1647	1464-5327	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TTRV20&page=instructions
Urban Geography	0272-3638	1938-2847	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RURB20&page=instructions
Urban Water Journal	1573-062X	1744-9006	engineering	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=NURW20&page=instructions
Urban, Planning and Transport Research		2165-0020	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RUPT20&page=instructions
Visual Cognition	1350-6285	1464-0716	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PVIS20&page=instructions
Vulnerable Children and Youth Studies	1745-0128	1745-0136	medicine	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RVCH20&page=instructions
Water International	0250-8060	1941-1707	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RWIN20&page=instructions
Work & Stress	0267-8373	1464-5335	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TWST20&page=instructions
World Leisure Journal	1607-8055	2333-4509	political_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RWLE20&page=instructions
Writing Systems Research	1758-6801	1758-681X	social_science	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=PWSR20&page=instructions
Zoology in the Middle East	0939-7140	2326-2680	biology	apa	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TZME20&page=instructions
American Nineteenth Century History	1466-4658	1743-7903	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=FANC20&page=instructions
Archives and Records	2325-7962	2325-7989	political_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=CJSA20&page=instructions
Asian Ethnicity	1463-1369	1469-2953	political_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=CAET20&page=instructions
Atlantic Studies	1478-8810	1740-4649	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=RJAS20&page=instructions
Business History	0007-6791	1743-7938	social_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=FBSH20&page=instructions
Contemporary British History	1361-9462	1743-7997	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=FCBH20&page=instructions
Criminal Justice Ethics	0731-129X	1937-5948	social_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=RCRE20&page=instructions
Democratization	1351-0347	1743-890X	political_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=FDEM20&page=instructions
East European Jewish Affairs	1350-1674	1743-971X	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=FEEJ20&page=instructions
European Review of History: Revue européenne d’histoire	1350-7486	1469-8293	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=CERH20&page=instructions
First Amendment Studies	2168-9725	2168-9733	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=RFSY20&page=instructions
First World War Studies	1947-5020	1947-5039	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=RFWW20&page=instructions
Global Crime	1744-0572	1744-0580	social_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=FGLC20&page=instructions
History and Technology	0734-1512	1477-2620	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=GHAT20&page=instructions
Immigrants & Minorities	0261-9288	1744-0521	social_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=FIMM20&page=instructions
Intellectual History Review	1749-6977	1749-6985	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=RIHR20&page=instructions
International Journal of Philosophy and Theology	2169-2327	2169-2335	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=RJPT20&page=instructions
Iranian Studies	0021-0862	1475-4819	political_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=CIST20&page=instructions
Irish Studies Review	0967-0882	1469-9303	political_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=CISR20&page=instructions
Journal of Eastern African Studies	1753-1055	1753-1063	political_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=RJEA20&page=instructions
Journal of Israeli History	1353-1042	1744-0548	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=FJIH20&page=instructions
Labor History	0023-656X	1469-9702	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=CLAH20&page=instructions
Media History	1368-8804	1469-9729	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=CMEH20&page=instructions
Mediterranean Historical Review	0951-8967	1743-940X	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=FMHR20&page=instructions
Middle Eastern Literatures	1475-262X	1475-2638	political_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=CAME20&page=instructions
Planning Perspectives	0266-5433	1466-4518	political_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=RPPE20&page=instructions
Public Art Dialogue	2150-2552	2150-2560	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=RPAD20&page=instructions
Quarterly Journal of Speech	0033-5630	1479-5779	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=RQJS20&page=instructions
Review of Communication		1535-8593	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=RROC20&page=instructions
Small Wars & Insurgencies	0959-2318	1743-9558	political_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=FSWI20&page=instructions
Soccer & Society	1466-0970	1743-9590	political_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=FSAS20&page=instructions
South Asian History and Culture	1947-2498	1947-2501	political_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=RSAC20&page=instructions
Studia Theologica - Nordic Journal of Theology	0039-338X	1502-7791	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=STHE20&page=instructions
The International Journal of the History of Sport	0952-3367	1743-9035	political_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=FHSP20&page=instructions
The Journal of Imperial and Commonwealth History	0308-6534	1743-9329	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=FICH20&page=instructions
The Seventeenth Century	0268-117X	2050-4616	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=RSEV20&page=instructions
The Sixties	1754-1328	1754-1336	humanities	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=RSIX20&page=instructions
Third World Quarterly	0143-6597	1360-2241	political_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=CTWQ20&page=instructions
Turkish Studies	1468-3849	1743-9663	political_science	chicago-note-bibliography	note	http://www.tandfonline.com/action/authorSubmission?journalCode=FTUR20&page=instructions
Accounting History Review	2155-2851	2155-286X	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RABF20&page=instructions
Acta Botanica Gallica	1253-8078	2166-3408	biology	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=TABG20&page=instructions
Acta Linguistica Hafniensia	0374-0463	1949-0763	humanities	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=SALH20&page=instructions
Action Learning: Research and Practice	1476-7333	1476-7341	social_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CALR20&page=instructions
Africa Review	0974-4053	0974-4061	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RAFR20&page=instructions
African and Black Diaspora: An International Journal	1752-8631	1752-864X	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RABD20&page=instructions
AIDS Care	0954-0121	1360-0451	medicine	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=CAIC20&page=instructions
American Review of Canadian Studies	0272-2011	1943-9954	political_science	taylor-and-francis-chicago-author-date	author-date	http://www.tandfonline.com/action/authorSubmission?journalCode=RARC20&page=instructions
