Publisher	Title	Abbreviation	ISSN	URL	Start Date
BioMed Central Ltd	Plant Methods	Plant Methods	1746-4811	http://www.plantmethods.com	2005
BioMed Central Ltd	Population Health Metrics	Popul Health Metrics	1478-7954	http://www.pophealthmetrics.com	2003
BioMed Central Ltd	Proteome Science	Proteome Sci	1477-5956	http://www.proteomesci.com	2003
BioMed Central Ltd	Radiation Oncology	Radiat Oncol	1748-717X	http://www.ro-journal.com	2006
BioMed Central Ltd	Reproductive Biology and Endocrinology	Reprod Biol Endocrinol	1477-7827	http://www.rbej.com	2003
BioMed Central Ltd	Reproductive Health	Reprod Health	1742-4755	http://www.reproductive-health-journal.com	2004
BioMed Central Ltd	Respiratory Research	Respir Res	1465-9921	http://respiratory-research.com	2000
BioMed Central Ltd	Retrovirology	Retrovirology	1742-4690	http://www.retrovirology.com	2004
BioMed Central Ltd	Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine	Scand J Trauma Resusc Emerg Med	1757-7241	http://www.sjtrem.com	2008
BioMed Central Ltd	Scoliosis	Scoliosis	1748-7161	http://www.scoliosisjournal.com	2006
BioMed Central Ltd	Silence	Silence	1758-907X	http://www.silencejournal.com	2010
BioMed Central Ltd	Skeletal Muscle	Skeletal Muscle	2044-5040	http://www.skeletalmusclejournal.com	2011
BioMed Central Ltd	Source Code for Biology and Medicine	Source Code Biol Med	1751-0473	http://www.scfbm.org	2006
BioMed Central Ltd	Sports Medicine, Arthroscopy, Rehabilitation, Therapy & Technology	Sports Med Arthrosc Rehabil Ther Technol	1758-2555	http://www.smarttjournal.com	2009
BioMed Central Ltd	Stem Cell Research & Therapy	Stem Cell Res Ther	1757-6512	http://stemcellres.com	2010
BioMed Central Ltd	Substance Abuse Treatment, Prevention, and Policy	Subst Abuse Treat Prev Policy	1747-597X	http://www.substanceabusepolicy.com	2006
BioMed Central Ltd	Systematic Reviews	Sys Rev	2046-4053	http://www.systematicreviewsjournal.com	2012
BioMed Central Ltd	Theoretical Biology and Medical Modelling	Theor Biol Med Model	1742-4682	http://www.tbiomed.com	2004
BioMed Central Ltd	Thrombosis Journal	Thrombosis J	1477-9560	http://www.thrombosisjournal.com	2003
BioMed Central Ltd	Thyroid Research	Thyroid Res	1756-6614	http://www.thyroidresearchjournal.com	2008
BioMed Central Ltd	Tobacco Induced Diseases	Tob Induced Dis	1617-9625	http://www.tobaccoinduceddiseases.com	2002
BioMed Central Ltd	Translational Neurodegeneration	Transl Neurodegener	2047-9158	http://www.translationalneurodegeneration.com	2012
BioMed Central Ltd	Transplantation Research	Transplant Res	2047-1440	http://www.transplantationresearch.com	2011
BioMed Central Ltd	Trials	Trials	1745-6215	http://www.trialsjournal.com	2000
BioMed Central Ltd	Vascular Cell	Vasc Cell	2045-824X	http://www.vascularcell.com	2009
BioMed Central Ltd	Veterinary Research	Vet Res	1297-9716	http://www.veterinaryresearch.org	2011
BioMed Central Ltd	Virology Journal	Virol J	1743-422X	http://www.virologyj.com	2004
BioMed Central Ltd	World Journal of Emergency Surgery	World J Emerg Surg	1749-7922	http://www.wjes.org	2006
BioMed Central Ltd	World Journal of Surgical Oncology	World J Surg Onc	1477-7819	http://www.wjso.com	2003
