Title	ISSN	Parent	Format
International Journal of Information Management	0268-4012	apa	author-date
Journal of Process Control	0959-1524	elsevier-with-titles	numeric
Journal of Retailing and Consumer Services	0969-6989	elsevier-harvard	author-date
Journal of the Korean Statistical Society	1226-3192	apa	author-date
Journal of King Saud University - Computer and Information Sciences	1319-1578	elsevier-harvard	author-date
Journal of King Saud University - Engineering Sciences	1018-3639	elsevier-harvard	author-date
Journal of King Saud University - Languages and Translation	2210-8319	elsevier-harvard	author-date
Journal of King Saud University - Science	1018-3647	elsevier-harvard	author-date
Journal of Logical and Algebraic Methods in Programming	2352-2208	elsevier-with-titles	numeric
Learning and Instruction	0959-4752	apa	author-date
Journal of Loss Prevention in the Process Industries	0950-4230	apa	author-date
Land Use Policy	0264-8377	elsevier-harvard	author-date
Journal of Macroeconomics	0164-0704	elsevier-harvard	author-date
Materials and Design	0261-3069	elsevier-vancouver	numeric
Molecular Aspects of Medicine	0098-2997	elsevier-harvard	author-date
Journal of Microscopy and Ultrastructure	2213-879X	elsevier-vancouver	numeric
Journal of the Mechanical Behavior of Biomedical Materials	1751-6161	elsevier-harvard	author-date
Mayo Clinic Proceedings	0025-6196	american-medical-association	numeric
Journal of Molecular Graphics and Modelling	1093-3263	elsevier-with-titles	numeric
Micron	0968-4328	elsevier-harvard	author-date
Journal of Medical Imaging and Radiation Sciences	1939-8654	american-medical-association	numeric
Journal of Manufacturing Processes	1526-6125	elsevier-vancouver	numeric
Marine and Petroleum Geology	0264-8172	elsevier-harvard	author-date
Marine Policy	0308-597X	elsevier-vancouver	numeric
Journal of Materials Research and Technology	2238-7854	elsevier-vancouver	numeric
Journal of Manufacturing Systems	0278-6125	elsevier-vancouver	numeric
Journal of Medical Ultrasound	0929-6441	elsevier-vancouver	numeric
Journal des Maladies Vasculaires	0398-0499	elsevier-vancouver	numeric
Journal of Northeast Agricultural University (English edition)	1006-8104	vancouver-author-date	author-date
The Journal of Nutritional Biochemistry	0955-2863	elsevier-vancouver	numeric
Journal for Nature Conservation	1617-1381	apa	author-date
Journal of the Egyptian National Cancer Institute	1110-0362	elsevier-vancouver	numeric
NDT and E International	0963-8695	elsevier-vancouver	numeric
Journal of Nutrition Education and Behavior	1499-4046	american-medical-association	numeric
Journal of Natural Gas Science and Engineering	1875-5100	elsevier-harvard	author-date
Journal of Neuroimmunology	0165-5728	elsevier-harvard	author-date
Journal of Neonatal Nursing	1355-1841	elsevier-harvard	author-date
Journal of Non-Newtonian Fluid Mechanics	0377-0257	elsevier-with-titles	numeric
Journal of the Neurological Sciences	0022-510X	elsevier-vancouver	numeric
Journal of Arrhythmia	1880-4276	elsevier-vancouver	numeric
Journal of Oral Biosciences	1349-0079	elsevier-vancouver	numeric
The Journal of Basic & Applied Zoology	2090-9896	elsevier-harvard	author-date
Journal of Oral Biology and Craniofacial Research	2212-4268	american-medical-association	numeric
Journal of Choice Modelling	1755-5345	elsevier-harvard	author-date
Journal of Obsessive-Compulsive and Related Disorders	2211-3649	apa	author-date
Journal of Computational Science	1877-7503	elsevier-with-titles	numeric
Journal of the Energy Institute	1743-9671	elsevier-with-titles	numeric
Journal of the Egyptian Mathematical Society	1110-256X	elsevier-with-titles	numeric
Journal of Economic Psychology	0167-4870	apa	author-date
Journal of Forensic Radiology and Imaging	2212-4780	elsevier-with-titles	numeric
Journal of Informetrics	1751-1577	apa	author-date
Optics and Laser Technology	0030-3992	elsevier-vancouver	numeric
Journal of Organometallic Chemistry	0022-328X	elsevier-without-titles	numeric
Journal of Men's Health	1875-6867	elsevier-vancouver	numeric
Journal of Oral and Maxillofacial Surgery, Medicine, and Pathology	2212-5558	elsevier-vancouver	numeric
Journal of Pharmacy Research	0974-6943	american-medical-association	numeric
Journal of Orthopaedics	0972-978X	american-medical-association	numeric
Journal of Outdoor Recreation and Tourism	2213-0780	apa	author-date
Journal of Orthopaedic Translation	2214-031X	elsevier-vancouver	numeric
Journal of Pure and Applied Algebra	0022-4049	elsevier-with-titles	numeric
Progress in Aerospace Sciences	0376-0421	elsevier-vancouver	numeric
Journal of Photochemistry & Photobiology, B: Biology	1011-1344	elsevier-with-titles	numeric
Progress in Biophysics and Molecular Biology	0079-6107	elsevier-harvard	author-date
Journal of Photochemistry & Photobiology, A: Chemistry	1010-6030	elsevier-with-titles	numeric
Physics and Chemistry of the Earth	1474-7065	elsevier-harvard	author-date
Progress in Crystal Growth and Characterization of Materials	0960-8974	elsevier-with-titles	numeric
Progress in Energy and Combustion Science	0360-1285	elsevier-vancouver	numeric
Journal of Pierre Fauchard Academy (India Section)	0970-2199	american-medical-association	numeric
Political Geography	0962-6298	apa	author-date
Journal of Pharmaceutical Analysis	2095-1779	elsevier-with-titles	numeric
Journal of Physiotherapy	1836-9553	american-medical-association	numeric
Journal of Plant Physiology	0176-1617	vancouver-author-date	author-date
Progress in Lipid Research	0163-7827	elsevier-vancouver	numeric
Journal of Pharmacological and Toxicological Methods	1056-8719	apa	author-date
International Journal of Project Management	0263-7863	elsevier-harvard	author-date
Progress in Materials Science	0079-6425	elsevier-vancouver	numeric
Progress in Nuclear Energy	0149-1970	elsevier-harvard	author-date
Progress in Nuclear Magnetic Resonance Spectroscopy	0079-6565	elsevier-with-titles	numeric
Journal of Policy Modeling	0161-8938	apa	author-date
Polymer	0032-3861	elsevier-vancouver	numeric
Journal of Prosthodontic Research	1883-1958	elsevier-vancouver	numeric
Journal of Accounting and Public Policy	0278-4254	elsevier-harvard	author-date
Progress in Particle and Nuclear Physics	0146-6410	elsevier-with-titles	numeric
Propulsion and Power Research	2212-540X	elsevier-with-titles	numeric
Progress in Polymer Science	0079-6700	elsevier-vancouver	numeric
Progress in Quantum Electronics	0079-6727	elsevier-with-titles	numeric
Journal of Photochemistry & Photobiology, C: Photochemistry Reviews	1389-5567	elsevier-with-titles	numeric
Journal of Proteomics	1874-3919	elsevier-vancouver	numeric
Progress in Retinal and Eye Research	1350-9462	elsevier-harvard	author-date
Journal of Patient Safety & Infection Control	2214-207X	american-medical-association	numeric
Progress in Solid State Chemistry	0079-6786	elsevier-vancouver	numeric
Pharmacology and Therapeutics	0163-7258	apa	author-date
Journal of Pediatric Urology	1477-5131	elsevier-vancouver	numeric
Quaternary International	1040-6182	elsevier-harvard	author-date
Quaternary Science Reviews	0277-3791	elsevier-harvard	author-date
Journal of Quantitative Spectroscopy and Radiative Transfer	0022-4073	elsevier-vancouver	numeric
Journal de Radiologie diagnostique et interventionnelle	2211-5706	elsevier-vancouver	numeric
Journal of Reproductive Immunology	0165-0378	elsevier-harvard	author-date
Journal de réadaptation médicale	0242-648X	elsevier-vancouver	numeric
Journal of Rock Mechanics and Geotechnical Engineering	1674-7755	vancouver-author-date	author-date
Resources Policy	0301-4207	elsevier-harvard	author-date
Journal of Radiation Research and Applied Sciences	1687-8507	apa	author-date
Journal of Rail Transport Planning & Management	2210-9706	elsevier-harvard	author-date
Explore: The Journal of Science and Healing	1550-8307	american-medical-association	numeric
Journal of Saudi Chemical Society	1319-6103	elsevier-with-titles	numeric
Studies in Educational Evaluation	0191-491X	apa	author-date
Journal of the Saudi Heart Association	1016-7315	elsevier-vancouver	numeric
Journal of School Psychology	0022-4405	apa	author-date
Space Policy	0265-9646	elsevier-vancouver	numeric
Spine Deformity	2212-134X	vancouver-author-date	author-date
Journal of Statistical Planning and Inference	0378-3758	elsevier-harvard	author-date
Journal of Safety Research	0022-4375	apa	author-date
The Journal of Systems & Software	0164-1212	elsevier-harvard	author-date
Journal of the Saudi Society of Agricultural Sciences	1658-077X	elsevier-harvard	author-date
Communist and Post-Communist Studies	0967-067X	elsevier-harvard	author-date
The Journal of Social Studies Research	0885-985X	apa	author-date
Journal of Surgical Education	1931-7204	american-medical-association	numeric
Journal de Thérapie Comportementale et Cognitive	1155-1704	elsevier-vancouver	numeric
Journal of Trace Elements in Medicine and Biology	0946-672X	elsevier-vancouver	numeric
Journal of Transport & Health	2214-1405	elsevier-harvard	author-date
Journal of the Taiwan Institute of Chemical Engineers	1876-1070	elsevier-vancouver	numeric
Tourism Management	0261-5177	apa	author-date
The Ocular Surface	1542-0124	elsevier-vancouver	numeric
Telecommunications Policy	0308-5961	apa	author-date
Journal of Transport Geography	0966-6923	elsevier-harvard	author-date
Tribology International	0301-679X	elsevier-vancouver	numeric
Transport Policy	0967-070X	elsevier-harvard	author-date
Journal de Traumatologie du Sport	0762-915X	elsevier-vancouver	numeric
Journal of Taibah University for Science	1658-3655	elsevier-with-titles	numeric
Journal of Tissue Viability	0965-206X	elsevier-vancouver	numeric
Utilities Policy	0957-1787	elsevier-harvard	author-date
Journal of Unconventional Oil and Gas Resources	2213-3976	elsevier-harvard	author-date
Journal of Ultrasound	1971-3495	elsevier-vancouver	numeric
Vaccine	0264-410X	elsevier-vancouver	numeric
Value in Health	1098-3015	elsevier-vancouver	numeric
Journal of Veterinary Behavior: Clinical Applications and Research	1558-7878	elsevier-harvard	author-date
Journal of Visceral Surgery	1878-7886	elsevier-vancouver	numeric
Journal of Water Process Engineering	2214-7144	elsevier-with-titles	numeric
Journal of Young Pharmacists	0975-1483	american-medical-association	numeric
Kinésithérapie, la revue	1779-0123	elsevier-vancouver	numeric
Kaohsiung Journal of Medical Sciences	1607-551X	elsevier-vancouver	numeric
Knowledge-Based Systems	0950-7051	elsevier-with-titles	numeric
KONTAKT	1212-4117	elsevier-vancouver	numeric
Linear Algebra and Its Applications	0024-3795	elsevier-with-titles	numeric
Labour Economics	0927-5371	elsevier-harvard	author-date
Language and Communication	0271-5309	elsevier-harvard	author-date
Landscape and Urban Planning	0169-2046	apa	author-date
Learning, Culture and Social Interaction	2210-6561	apa	author-date
Learning and Individual Differences	1041-6080	apa	author-date
The Leadership Quarterly	1048-9843	apa	author-date
Legal Medicine	1344-6223	elsevier-vancouver	numeric
Life Sciences	0024-3205	vancouver-author-date	author-date
Library Collections, Acquisitions and Technical Services	1464-9055	apa	author-date
Library and Information Science Research	0740-8188	apa	author-date
Limnologica	0075-9511	elsevier-harvard	author-date
Linguistics and Education	0898-5898	apa	author-date
Lingua	0024-3841	elsevier-harvard	author-date
Livestock Science	1871-1413	elsevier-harvard	author-date
Longevity Sciences and Medicine	2213-655X	elsevier-vancouver	numeric
La Presse Médicale	0755-4982	elsevier-vancouver	numeric
Leukemia Research	0145-2126	elsevier-vancouver	numeric
Long Range Planning	0024-6301	elsevier-harvard	author-date
Leukemia Research Reports	2213-0489	elsevier-vancouver	numeric
Language Sciences	0388-0001	elsevier-harvard	author-date
Life Sciences in Space Research	2214-5524	elsevier-harvard	author-date
Journal of Luminescence	0022-2313	elsevier-with-titles	numeric
Lung Cancer	0169-5002	elsevier-vancouver	numeric
Materials Chemistry and Physics	0254-0584	elsevier-with-titles	numeric
Mechanisms of Ageing and Development	0047-6374	elsevier-harvard	author-date
Journal of Magnetism and Magnetic Materials	0304-8853	elsevier-with-titles	numeric
Mammalian Biology	1616-5047	elsevier-harvard	author-date
Mechanism and Machine Theory	0094-114X	elsevier-with-titles	numeric
Marine Chemistry	0304-4203	elsevier-harvard	author-date
Marine Genomics	1874-7787	elsevier-harvard	author-date
Marine Geology	0025-3227	elsevier-harvard	author-date
Marine Micropaleontology	0377-8398	elsevier-harvard	author-date
Journal of Marine Systems	0924-7963	elsevier-harvard	author-date
International Journal of Mass Spectrometry	1387-3806	elsevier-with-titles	numeric
Marine Structures	0951-8339	elsevier-vancouver	numeric
Maturitas	0378-5122	elsevier-vancouver	numeric
Journal of Mathematical Behavior	0732-3123	apa	author-date
Matrix Biology	0945-053X	elsevier-harvard	author-date
Journal of Mathematical Economics	0304-4068	elsevier-harvard	author-date
Journal de mathématiques pures et appliquées	0021-7824	elsevier-with-titles	numeric
Materials Science in Semiconductor Processing	1369-8001	elsevier-without-titles	numeric
Mathematical Social Sciences	0165-4896	elsevier-harvard	author-date
Materials Today	1369-7021	elsevier-without-titles	numeric
Mathematical Biosciences	0025-5564	elsevier-with-titles	numeric
Molecular and Cellular Endocrinology	0303-7207	elsevier-harvard	author-date
Mathematical and Computer Modelling	0895-7177	elsevier-with-titles	numeric
Measurement	0263-2241	elsevier-with-titles	numeric
Metabolic Engineering Communications	2214-0301	elsevier-harvard	author-date
Mechatronics	0957-4158	elsevier-vancouver	numeric
Mechanics of Materials	0167-6636	elsevier-harvard	author-date
Médecine et Droit	1246-7391	elsevier-vancouver	numeric
Medical Image Analysis	1361-8415	elsevier-harvard	author-date
La revue de médecine légale	1878-6529	elsevier-vancouver	numeric
Médecine et Maladies Infectieuses	0399-077X	elsevier-vancouver	numeric
Médecine Nucléaire	0928-1258	elsevier-vancouver	numeric
Médecine Palliative Soins de Support - Accompagnement - Ethique	1636-6522	elsevier-vancouver	numeric
Medical Photonics	2213-8846	elsevier-harvard	author-date
Infection, Genetics and Evolution	1567-1348	elsevier-harvard	author-date
Microelectronics Journal	0026-2692	elsevier-with-titles	numeric
Métiers de la petite enfance	1258-780X	elsevier-vancouver	numeric
Journal of Membrane Science	0376-7388	elsevier-with-titles	numeric
Marine Environmental Research	0141-1136	elsevier-harvard	author-date
Meat Science	0309-1740	apa	author-date
Intermetallics	0966-9795	elsevier-vancouver	numeric
Metamaterials	1873-1988	elsevier-with-titles	numeric
MethodsX	2215-0161	elsevier-with-titles	numeric
Manufacturing Letters	2213-8463	elsevier-vancouver	numeric
Meta Gene	2214-5400	elsevier-harvard	author-date
Mental Health & Prevention	2212-6570	apa	author-date
Mental Health and Physical Activity	1755-2966	apa	author-date
Microbes and Infection	1286-4579	elsevier-vancouver	numeric
Microporous and Mesoporous Materials	1387-1811	elsevier-without-titles	numeric
Microprocessors and Microsystems	0141-9331	elsevier-with-titles	numeric
Microbiological Research	0944-5013	vancouver-author-date	author-date
Microchemical Journal	0026-265X	elsevier-with-titles	numeric
Journal of Microbiological Methods	0167-7012	elsevier-harvard	author-date
Molecular Immunology	0161-5890	elsevier-harvard	author-date
International Journal of Mineral Processing	0301-7516	elsevier-harvard	author-date
Methods in Oceanography	2211-1220	elsevier-harvard	author-date
Mitochondrion	1567-7249	elsevier-harvard	author-date
Medical Journal Armed Forces India	0377-1237	american-medical-association	numeric
Materials Letters	0167-577X	elsevier-vancouver	numeric
Medical Mycology Case Reports	2211-7539	elsevier-vancouver	numeric
Mechanisms of Development	0925-4773	elsevier-harvard	author-date
Gene Expression Patterns	1567-133X	elsevier-harvard	author-date
Molecular & Biochemical Parasitology	0166-6851	elsevier-vancouver	numeric
Journal of Molecular Catalysis. A, Chemical	1381-1169	elsevier-without-titles	numeric
Journal of Molecular Catalysis. B, Enzymatic	1381-1177	elsevier-without-titles	numeric
Molecular Cell	1097-2765	elsevier-harvard	author-date
Molecular Oncology	1574-7891	elsevier-harvard	author-date
Journal of Monetary Economics	0304-3932	elsevier-harvard	author-date
Revue du Rhumatisme monographies	1878-6227	elsevier-vancouver	numeric
Morphologie	1286-0115	elsevier-vancouver	numeric
Motricité cérébrale	0245-5919	elsevier-vancouver	numeric
Marine Pollution Bulletin	0025-326X	elsevier-harvard	author-date
Journal of the Mechanics and Physics of Solids	0022-5096	elsevier-harvard	author-date
Microelectronics Reliability	0026-2714	elsevier-vancouver	numeric
Materials Research Bulletin	0025-5408	elsevier-without-titles	numeric
Mechanics Research Communications	0093-6413	elsevier-harvard	author-date
Magnetic Resonance Imaging	0730-725X	elsevier-vancouver	numeric
International Journal of Mechanical Sciences	0020-7403	elsevier-vancouver	numeric
Materials Science & Engineering A	0921-5093	elsevier-without-titles	numeric
Multiple Sclerosis and Related Disorders	2211-0348	vancouver-author-date	author-date
Materials Science & Engineering B	0921-5107	elsevier-without-titles	numeric
Materials Science & Engineering C	0928-4931	elsevier-with-titles	numeric
Médecine du Sommeil	1769-4493	elsevier-vancouver	numeric
Procedia Materials Science	2211-8128	elsevier-with-titles	numeric
Materials Science & Engineering R	0927-796X	elsevier-without-titles	numeric
Materials Characterization	1044-5803	elsevier-vancouver	numeric
International Journal of Machine Tools and Manufacture	0890-6955	elsevier-with-titles	numeric
Journal of Multinational Financial Management	1042-444X	elsevier-harvard	author-date
Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis	0027-5107	elsevier-with-titles	numeric
Mutation Research - Genetic Toxicology and Environmental Mutagenesis	1383-5718	elsevier-with-titles	numeric
Mutation Research-Reviews in Mutation Research	1383-5742	elsevier-with-titles	numeric
Journal de Mycologie Médicale	1156-5233	elsevier-vancouver	numeric
Nonlinear Analysis	0362-546X	elsevier-with-titles	numeric
Nonlinear Analysis: Hybrid Systems	1751-570X	elsevier-with-titles	numeric
Nano Communication Networks	1878-7789	elsevier-with-titles	numeric
Nano Energy	2211-2855	elsevier-without-titles	numeric
Nano Today	1748-0132	elsevier-without-titles	numeric
Neurobiology of Aging	0197-4580	elsevier-harvard	author-date
Neuroscience and Biobehavioral Reviews	0149-7634	elsevier-harvard	author-date
New BIOTECHNOLOGY	1871-6784	elsevier-vancouver	numeric
Neurochemistry International	0197-0186	elsevier-harvard	author-date
New Astronomy	1384-1076	elsevier-harvard	author-date
Nuclear Engineering and Design	0029-5493	elsevier-harvard	author-date
Journal of Neurolinguistics	0911-6044	apa	author-date
Nephrologie et Thérapeutique	1769-7255	elsevier-vancouver	numeric
Neuropsychiatrie de l'enfance et de l'adolescence	0222-9617	elsevier-vancouver	numeric
Neurochirurgie	0028-3770	elsevier-vancouver	numeric
Neurophysiologie Clinique / Clinical Neurophysiology	0987-7053	elsevier-vancouver	numeric
Neurocomputing	0925-2312	elsevier-with-titles	numeric
European Neuropsychopharmacology	0924-977X	elsevier-harvard	author-date
Journal of Neuroradiology	0150-9861	elsevier-vancouver	numeric
Revue Neurologique	0035-3787	elsevier-vancouver	numeric
Neuron	0896-6273	elsevier-harvard	author-date
Neurotoxicology	0161-813X	vancouver-author-date	author-date
Nuclear Inst. and Methods in Physics Research, A	0168-9002	elsevier-with-titles	numeric
Nuclear Inst. and Methods in Physics Research, B	0168-583X	elsevier-with-titles	numeric
New Ideas in Psychology	0732-118X	apa	author-date
NJAS - Wageningen Journal of Life Sciences	1573-5214	elsevier-with-titles	numeric
International Journal of Non-Linear Mechanics	0020-7462	elsevier-with-titles	numeric
Nuclear Medicine and Biology	0969-8051	elsevier-vancouver	numeric
Neuromuscular Disorders	0960-8966	elsevier-vancouver	numeric
Neural Networks	0893-6080	apa	author-date
Journal of Non-Crystalline Solids	0022-3093	elsevier-with-titles	numeric
Nonlinear Analysis: Real World Applications	1468-1218	elsevier-with-titles	numeric
Neuropharmacology	0028-3908	elsevier-harvard	author-date
NPG Neurologie - Psychiatrie - Gériatrie	1627-4830	elsevier-vancouver	numeric
NRIAG Journal of Astronomy and Geophysics	2090-9977	elsevier-harvard	author-date
International Journal of Nursing Studies	0020-7489	elsevier-harvard	author-date
Neuroscience Letters	0304-3940	elsevier-with-titles	numeric
Journal of Neuroscience Methods	0165-0270	vancouver-author-date	author-date
Neuroscience Research	0168-0102	elsevier-harvard	author-date
Neuropsychologia	0028-3932	apa	author-date
Nutrition Research	0271-5317	elsevier-vancouver	numeric
Neurotoxicology and Teratology	0892-0362	vancouver-author-date	author-date
Journal of Nuclear Materials	0022-3115	elsevier-without-titles	numeric
Nutrition, Metabolism and Cardiovascular Diseases	0939-4753	elsevier-vancouver	numeric
Nuclear Physics, Section A	0375-9474	elsevier-with-titles	numeric
Nuclear Physics, Section B	0550-3213	elsevier-with-titles	numeric
Nuclear Physics B (Proceedings Supplements)	0920-5632	elsevier-with-titles	numeric
Nutrition	0899-9007	elsevier-vancouver	numeric
Nutrition clinique et métabolisme	0985-0562	elsevier-vancouver	numeric
Ocean Modelling	1463-5003	elsevier-harvard	author-date
Ocean and Coastal Management	0964-5691	elsevier-harvard	author-date
Orthodontic Waves	1344-0241	elsevier-vancouver	numeric
Ocean Engineering	0029-8018	elsevier-harvard	author-date
Optics and Lasers in Engineering	0143-8166	elsevier-vancouver	numeric
Ortho Magazine	1262-4586	elsevier-vancouver	numeric
Omega	0305-0483	elsevier-vancouver	numeric
Oral and Maxillofacial Surgery Cases	2214-5419	vancouver-author-date	author-date
Critical Reviews in Oncology / Hematology	1040-8428	elsevier-vancouver	numeric
Revue d'Oncologie Hématologie Pédiatrique	2213-4670	elsevier-vancouver	numeric
Zeszyty Naukowe WCO, Letters in Oncology Science	1734-0489	elsevier-with-titles	numeric
Oral Oncology	1368-8375	elsevier-vancouver	numeric
Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology	2212-4403	american-medical-association	numeric
Journal of Operations Management	0272-6963	elsevier-harvard	author-date
Operations Research Letters	0167-6377	elsevier-with-titles	numeric
Optics Communications	0030-4018	elsevier-with-titles	numeric
Optical Materials	0925-3467	elsevier-with-titles	numeric
Journal of Optometry	1888-4296	american-medical-association	numeric
Obesity Research & Clinical Practice	1871-403X	elsevier-vancouver	numeric
Ore Geology Reviews	0169-1368	elsevier-harvard	author-date
Organic Electronics	1566-1199	elsevier-with-titles	numeric
Operations Research for Health Care	2211-6923	elsevier-with-titles	numeric
Operations Research Perspectives	2214-7160	elsevier-vancouver	numeric
International Orthodontics	1761-7227	elsevier-vancouver	numeric
Optical Switching and Networking	1573-4277	elsevier-with-titles	numeric
Otolaryngologia Polska	0030-6657	elsevier-vancouver	numeric
Orthopaedics & Traumatology: Surgery & Research	1877-0568	elsevier-vancouver	numeric
Oxymag	0990-1310	elsevier-vancouver	numeric
Pacific-Basin Finance Journal	0927-538X	elsevier-harvard	author-date
Photoacoustics	2213-5979	elsevier-vancouver	numeric
Personality and Individual Differences	0191-8869	apa	author-date
Pain	0304-3959	elsevier-vancouver	numeric
Palaeogeography, Palaeoclimatology, Palaeoecology	0031-0182	elsevier-harvard	author-date
Review of Palaeobotany and Palynology	0034-6667	elsevier-harvard	author-date
Comptes rendus - Palevol	1631-0683	elsevier-harvard	author-date
Palaeoworld	1871-174X	elsevier-harvard	author-date
Pancreatology	1424-3903	elsevier-vancouver	numeric
International Journal for Parasitology	0020-7519	elsevier-harvard	author-date
Parallel Computing	0167-8191	elsevier-with-titles	numeric
Parasitology International	1383-5769	elsevier-vancouver	numeric
Particuology	1674-2001	apa	author-date
Pathologie Biologie	0369-8114	elsevier-vancouver	numeric
Pathogenesis	2214-6636	elsevier-vancouver	numeric
Pathophysiology	0928-4680	elsevier-with-titles	numeric
Pattern Recognition Letters	0167-8655	elsevier-with-titles	numeric
Journal of Pharmaceutical and Biomedical Analysis	0731-7085	elsevier-with-titles	numeric
Pharmacology, Biochemistry and Behavior	0091-3057	vancouver-author-date	author-date
Primary Care Diabetes	1751-9918	elsevier-with-titles	numeric
Journal of Physics and Chemistry of Solids	0022-3697	elsevier-with-titles	numeric
Pediatric Dental Journal	0917-2394	elsevier-vancouver	numeric
Photodiagnosis and Photodynamic Therapy	1572-1000	elsevier-vancouver	numeric
Polymer Degradation and Stability	0141-3910	elsevier-vancouver	numeric
Patient Education and Counseling	0738-3991	elsevier-vancouver	numeric
International Journal of Pediatric Otorhinolaryngology Extra	1871-4048	elsevier-with-titles	numeric
Pedobiologia - International Journal of Soil Biology	0031-4056	elsevier-harvard	author-date
International Journal of Pediatric Otorhinolaryngology	0165-5876	elsevier-with-titles	numeric
Journal de pédiatrie et de puériculture	0987-7983	elsevier-vancouver	numeric
Performance Enhancement & Health	2211-2669	apa	author-date
Peptides	0196-9781	elsevier-vancouver	numeric
Physics of the Earth and Planetary Interiors	0031-9201	elsevier-harvard	author-date
Pediatria Polska	0031-3939	elsevier-vancouver	numeric
Perspectives in Medicine	2211-968X	elsevier-vancouver	numeric
Journal of Petroleum Science and Engineering	0920-4105	elsevier-harvard	author-date
Performance Evaluation	0166-5316	elsevier-with-titles	numeric
Proceedings of the Geologists' Association	0016-7878	elsevier-harvard	author-date
PharmaNutrition	2213-4344	elsevier-vancouver	numeric
Pharmacological Reports	1734-1140	elsevier-vancouver	numeric
Annales Pharmaceutiques Françaises	0003-4509	elsevier-vancouver	numeric
European Journal of Pharmaceutical Sciences	0928-0987	elsevier-harvard	author-date
Physiology & Behavior	0031-9384	elsevier-vancouver	numeric
Pharmacognosy Journal	0975-3575	american-medical-association	numeric
Le Pharmacien Hospitalier et Clinicien	2211-1042	elsevier-vancouver	numeric
Pharmaceutical Methods	2229-4708	american-medical-association	numeric
ISPRS Journal of Photogrammetry and Remote Sensing	0924-2716	elsevier-harvard	author-date
Physical Communication	1874-4907	elsevier-with-titles	numeric
Phytomedicine	0944-7113	elsevier-harvard	author-date
Physica A: Statistical Mechanics and its Applications	0378-4371	elsevier-with-titles	numeric
Physica B: Physics of Condensed Matter	0921-4526	elsevier-with-titles	numeric
Physica C: Superconductivity and its applications	0921-4534	elsevier-with-titles	numeric
Physica D: Nonlinear Phenomena	0167-2789	elsevier-with-titles	numeric
Physica E: Low-dimensional Systems and Nanostructures	1386-9477	elsevier-with-titles	numeric
Journal of Physiology - Paris	0928-4257	elsevier-harvard	author-date
Physiotherapy	0031-9406	elsevier-vancouver	numeric
Phytochemistry	0031-9422	elsevier-harvard	author-date
Phytochemistry Letters	1874-3900	elsevier-harvard	author-date
Journal of Psychiatric Research	0022-3956	vancouver-author-date	author-date
Pediatric Infectious Disease	2212-8328	american-medical-association	numeric
Postępy Psychiatrii i Neurologii	1230-2813	elsevier-vancouver	numeric
Perspectives in Science	2213-0209	elsevier-harvard	author-date
Neurologia i Neurochirurgia Polska	0028-3843	elsevier-vancouver	numeric
Physics Letters A	0375-9601	elsevier-with-titles	numeric
Plant Physiology and Biochemistry	0981-9428	elsevier-harvard	author-date
Physics Letters B	0370-2693	elsevier-with-titles	numeric
Physics of Life Reviews	1571-0645	elsevier-vancouver	numeric
Pervasive and Mobile Computing	1574-1192	elsevier-with-titles	numeric
PM&R	1934-1482	elsevier-vancouver	numeric
Personalized Medicine Universe	2186-4950	elsevier-vancouver	numeric
Psychoneuroendocrinology	0306-4530	elsevier-harvard	author-date
Revue de Pneumologie clinique	0761-8417	elsevier-vancouver	numeric
Photonics and Nanostructures - Fundamentals and Applications	1569-4410	elsevier-with-titles	numeric
Progress in Neuropsychopharmacology & Biological Psychiatry	0278-5846	vancouver-author-date	author-date
Progress in Natural Science: Materials International	1002-0071	elsevier-with-titles	numeric
Pediatric Neurology	0887-8994	elsevier-vancouver	numeric
Polish Annals of Medicine	1230-8013	american-medical-association	numeric
Progress in Organic Coatings	0300-9440	elsevier-with-titles	numeric
Poetics	0304-422X	elsevier-harvard	author-date
Polar Science	1873-9652	elsevier-harvard	author-date
European Journal of Political Economy	0176-2680	elsevier-harvard	author-date
Policy and Society	1449-4035	apa	author-date
Polyhedron	0277-5387	elsevier-with-titles	numeric
Postharvest Biology and Technology	0925-5214	elsevier-harvard	author-date
Polymer Testing	0142-9418	elsevier-with-titles	numeric
Journal of Power Sources	0378-7753	elsevier-without-titles	numeric
Progress in Pediatric Cardiology	1058-9813	elsevier-vancouver	numeric
Perspectives in Plant Ecology, Evolution and Systematics	1433-8319	elsevier-harvard	author-date
Polski Przegląd Otorynolaryngologiczny	2084-5308	elsevier-vancouver	numeric
Pattern Recognition	0031-3203	elsevier-with-titles	numeric
Journal of Pragmatics	0378-2166	elsevier-harvard	author-date
Pratique Neurologique - FMC	1878-7762	elsevier-vancouver	numeric
Pratiques en nutrition	1766-7305	elsevier-vancouver	numeric
Le Praticien en anesthésie réanimation	1279-7960	elsevier-vancouver	numeric
Process Biochemistry	1359-5113	elsevier-vancouver	numeric
Parkinsonism and Related Disorders	1353-8020	elsevier-vancouver	numeric
Precision Engineering	0141-6359	elsevier-vancouver	numeric
Precambrian Research	0301-9268	elsevier-harvard	author-date
Pregnancy Hypertension: An International Journal of Women's Cardiovascular Health	2210-7789	elsevier-vancouver	numeric
Probabilistic Engineering Mechanics	0266-8920	elsevier-vancouver	numeric
